Date,High,Low,Open,Close,Volume,Adj Close,TP,CCI,20SMA,40SMA,50SMA,100SMA,60VMA
2018-01-02,6.0,5.25,6.0,5.5,17900.0,5.5,5.583333333333332,,,,,,
2018-01-03,6.5,5.0,5.5,6.5,182000.0,6.5,6.0,,,,,,
2018-01-04,6.5,5.5,6.5,5.5,83400.0,5.5,5.833333333333332,,,,,,
2018-01-05,6.0,5.25,5.75,5.5,60800.0,5.5,5.583333333333332,,,,,,
2018-01-08,5.75,5.25,5.75,5.25,47300.0,5.25,5.416666666666668,-95.23809523809496,,,,,
2018-01-09,5.75,5.25,5.75,5.5,151700.0,5.5,5.5,-55.55555555555542,,,,,
2018-01-10,5.75,5.25,5.5,5.75,63200.0,5.75,5.583333333333332,0.0,,,,,
2018-01-11,5.75,5.25,5.5,5.5,90400.0,5.5,5.5,-20.833333333333336,,,,,
2018-01-12,5.5,5.25,5.5,5.25,23900.0,5.25,5.333333333333333,-121.21212121212172,,,,,
2018-01-16,5.5,5.25,5.5,5.25,59200.0,5.25,5.333333333333333,-83.33333333333286,,,,,
2018-01-17,5.25,4.0,5.25,5.0,97000.0,5.0,4.75,-166.666666666666,,,,,
2018-01-18,5.25,4.75,5.25,4.75,43000.0,4.75,4.916666666666667,-62.49999999999979,,,,,
2018-01-19,5.25,4.75,5.0,5.0,55800.0,5.0,5.0,-20.83333333333328,,,,,
2018-01-22,5.25,5.0,5.25,5.0,28500.0,5.0,5.083333333333333,28.985507246376738,,,,,
2018-01-23,5.5,5.0,5.25,5.0,93500.0,5.0,5.166666666666667,101.85185185185206,,,,,
2018-01-24,5.25,5.0,5.0,5.0,20700.0,5.0,5.083333333333333,30.30303030303023,,,,,
2018-01-25,5.5,5.0,5.0,5.25,66100.0,5.25,5.25,121.21212121212143,,,,,
2018-01-26,5.25,5.0,5.25,5.0,38600.0,5.0,5.083333333333333,-55.55555555555522,,,,,
2018-01-29,5.0,5.0,5.0,5.0,27400.0,5.0,5.0,-106.06060606060556,,,,,
2018-01-30,5.25,4.75,5.0,5.0,59400.0,5.0,5.0,-83.33333333333309,5.275,,,,
2018-01-31,5.0,4.75,5.0,4.75,21400.0,4.75,4.833333333333333,-125.00000000000013,5.2375,,,,
2018-02-01,5.0,4.75,5.0,4.75,50000.0,4.75,4.833333333333333,-83.33333333333286,5.15,,,,
2018-02-02,5.0,4.75,5.0,4.75,22100.0,4.75,4.833333333333333,-55.55555555555532,5.1125,,,,
2018-02-05,5.0,4.75,4.75,4.75,60400.0,4.75,4.833333333333333,-41.666666666665826,5.075,,,,
2018-02-06,5.0,4.25,5.0,4.5,34200.0,4.5,4.583333333333333,-166.66666666666632,5.0375,,,,
2018-02-07,4.5,4.5,4.5,4.5,17100.0,4.5,4.5,-103.17460317460292,4.9875,,,,
2018-02-08,4.5,4.5,4.5,4.5,17800.0,4.5,4.5,-68.18181818181793,4.925,,,,
2018-02-09,4.5,2.75,4.5,4.0,56200.0,4.0,3.75,-166.66666666666634,4.85,,,,
2018-02-12,4.25,4.0,4.25,4.0,41700.0,4.0,4.083333333333333,-45.45454545454549,4.7875,,,,
2018-02-13,4.25,4.0,4.0,4.0,13600.0,4.0,4.083333333333333,-26.31578947368412,4.725,,,,
2018-02-14,4.25,4.0,4.0,4.0,14900.0,4.0,4.083333333333333,-6.9444444444444215,4.675,,,,
2018-02-15,4.25,4.0,4.0,4.0,51300.0,4.0,4.083333333333333,41.666666666667155,4.6375,,,,
2018-02-16,4.5,4.0,4.25,4.25,33900.0,4.25,4.25,166.6666666666683,4.6,,,,
2018-02-20,4.5,4.25,4.5,4.25,21900.0,4.25,4.333333333333333,111.11111111111131,4.5625,,,,
2018-02-21,4.25,4.0,4.25,4.0,14600.0,4.0,4.083333333333333,-55.555555555555365,4.5125,,,,
2018-02-22,4.25,4.0,4.0,4.25,13400.0,4.25,4.166666666666667,-12.820512820512114,4.475,,,,
2018-02-23,4.25,4.0,4.25,4.0,10300.0,4.0,4.083333333333333,-76.92307692307676,4.4125,,,,
2018-02-26,4.0,3.75,4.0,4.0,18000.0,4.0,3.9166666666666665,-124.99999999999977,4.3625,,,,
2018-02-27,4.0,3.75,4.0,3.75,17500.0,3.75,3.8333333333333335,-107.84313725490186,4.3,,,,
2018-02-28,4.0,3.75,4.0,4.0,31100.0,4.0,3.9166666666666665,-39.215686274509906,4.25,4.7625,,,
2018-03-01,4.25,3.75,4.25,3.75,11700.0,3.75,3.9166666666666665,-18.518518518518906,4.2,4.71875,,,
2018-03-02,4.0,3.75,4.0,4.0,17200.0,4.0,3.9166666666666665,41.666666666664455,4.1625,4.65625,,,
2018-03-05,4.0,3.75,4.0,4.0,13600.0,4.0,3.9166666666666665,41.666666666664455,4.125,4.61875,,,
2018-03-06,3.75,3.75,3.75,3.75,21600.0,3.75,3.75,-166.66666666666725,4.075,4.575,,,
2018-03-07,3.75,3.75,3.75,3.75,12800.0,3.75,3.75,-83.3333333333339,4.0375,4.5375,,,
2018-03-08,4.5,3.75,3.75,4.0,84800.0,4.0,4.083333333333333,124.9999999999996,4.0125,4.5,,,
2018-03-09,4.75,4.25,4.25,4.75,161100.0,4.75,4.583333333333333,149.12280701754386,4.025,4.475,,,
2018-03-12,6.25,5.0,5.0,5.75,298300.0,5.75,5.666666666666668,142.85714285714292,4.1125,4.48125,,,
2018-03-13,6.0,5.0,6.0,5.0,140000.0,5.0,5.333333333333333,66.32653061224494,4.1625,4.475,,,
2018-03-14,5.5,4.75,5.5,5.0,62800.0,5.0,5.083333333333333,18.01801801801807,4.2125,4.46875,4.685,,
2018-03-15,5.25,4.75,5.0,4.75,39000.0,4.75,4.916666666666667,-43.47826086956507,4.25,4.4625,4.67,,
2018-03-16,5.0,4.75,5.0,4.75,40100.0,4.75,4.833333333333333,-83.33333333333326,4.2875,4.4625,4.635,,
2018-03-19,12.5,5.0,5.25,7.25,1628000.0,7.25,8.25,166.66666666666686,4.4375,4.51875,4.67,,
2018-03-20,12.0,8.0,8.75,9.0,1966000.0,9.0,9.666666666666666,107.843137254902,4.675,4.61875,4.74,,
2018-03-21,11.0,7.25,10.5,7.5,603800.0,7.5,8.583333333333334,46.783625730994245,4.85,4.68125,4.785,,
2018-03-22,6.5,5.0,6.25,5.25,389800.0,5.25,5.583333333333332,-68.96551724137932,4.9,4.6875,4.78,,
2018-03-23,5.0,4.0,4.75,4.25,305400.0,4.25,4.416666666666667,-104.46859903381642,4.9125,4.6625,4.75,,
2018-03-26,6.75,4.25,4.5,5.25,455800.0,5.25,5.416666666666668,-45.876887340301906,4.975,4.66875,4.745,,
2018-03-27,7.550000190734862,5.21999979019165,6.099999904632568,6.329999923706055,59000.0,6.329999923706055,6.3666666348775225,17.439554690714488,5.103999996185303,4.701999998092651,4.766599998474121,,
2018-03-28,9.770000457763672,5.320000171661377,6.960000038146973,5.46999979019165,467900.0,5.46999979019165,6.853333473205566,106.30665378510113,5.177499985694885,4.7137499928474424,4.770999994277954,,144165.0
