Date,High,Low,Open,Close,Volume,Adj Close,TP,CCI,20SMA,40SMA,50SMA,100SMA,60VMA
2021-03-19,10.140999794006348,10.06999969482422,10.09000015258789,10.06999969482422,1101800,10.06999969482422,10.093666394551596,,,,,,
2021-03-22,10.199999809265137,10.050000190734863,10.199999809265137,10.109999656677246,1092700,10.109999656677246,10.119999885559082,,,,,,
2021-03-23,10.133999824523926,9.90999984741211,10.109999656677246,10.020000457763672,189500,10.020000457763672,10.021333376566568,,,,,,
2021-03-24,10.170000076293944,9.720000267028807,10.170000076293944,9.970000267028807,572300,9.970000267028807,9.953333536783852,,,,,,
2021-03-25,9.989999771118164,9.70300006866455,9.9399995803833,9.970000267028807,211300,9.970000267028807,9.887666702270508,-112.2258587893008,,,,,
2021-03-26,10.039999961853027,9.8100004196167,9.8100004196167,10.020000457763672,894600,10.020000457763672,9.956666946411133,-31.308517815500302,,,,,
2021-03-29,10.029999732971193,9.960000038146973,10.029999732971193,9.960000038146973,195000,9.960000038146973,9.983333269755043,45.514656453619814,,,,,
2021-03-30,10.104999542236328,9.93000030517578,10.0,10.039999961853027,528800,10.039999961853027,10.024999936421713,123.73946626615923,,,,,
2021-03-31,10.0600004196167,10.039999961853027,10.050000190734863,10.053999900817873,15800,10.053999900817873,10.0513334274292,100.24657864004364,,,,,
2021-04-01,10.199999809265137,10.020000457763672,10.020000457763672,10.1899995803833,48100,10.1899995803833,10.136666615804037,139.4145714991028,,,,,
2021-04-05,10.434000015258787,10.15999984741211,10.25,10.279999732971193,68300,10.279999732971193,10.291333198547363,138.666278354923,,,,,
2021-04-06,10.420000076293944,10.0600004196167,10.289999961853027,10.199999809265137,15000,10.199999809265137,10.226666768391928,59.4465006247449,,,,,
2021-04-07,10.369999885559082,10.100000381469727,10.239999771118164,10.199999809265137,85900,10.199999809265137,10.223333358764648,33.986475770289466,,,,,
2021-04-08,10.5,10.1899995803833,10.1899995803833,10.21500015258789,10700,10.21500015258789,10.301666577657064,90.4421618746677,,,,,
2021-04-09,10.243000030517578,10.149999618530273,10.243000030517578,10.199999809265137,30100,10.199999809265137,10.19766648610433,-86.9518447583792,,,,,
2021-04-12,10.210000038146973,9.949999809265137,10.100000381469727,10.029999732971193,171200,10.029999732971193,10.0633331934611,-161.03642168614016,,,,,
2021-04-13,10.199999809265137,10.050000190734863,10.18000030517578,10.149999618530273,429700,10.149999618530273,10.133333206176758,-49.233573436673495,,,,,
2021-04-14,10.15999984741211,10.100000381469727,10.119999885559082,10.130000114440918,89100,10.130000114440918,10.130000114440918,-34.727527733975506,,,,,
2021-04-15,10.149999618530273,10.067999839782717,10.067999839782717,10.109999656677246,30500,10.109999656677246,10.109333038330078,-35.891356913376114,,,,,
2021-04-16,10.119999885559082,10.079999923706056,10.079999923706056,10.100000381469727,17600,10.100000381469727,10.100000063578287,-23.498271929560804,10.100949954986572,,,,
2021-04-19,10.119999885559082,10.06999969482422,10.119999885559082,10.104999542236328,68700,10.104999542236328,10.098333040873207,-75.70019127975243,10.102699947357177,,,,
