Date,High,Low,Open,Close,Volume,Adj Close
2020-02-25,8.239999771118164,8.079999923706055,8.229999542236328,8.119999885559082,420900,8.119999885559082
2020-02-26,8.270000457763672,8.020000457763672,8.170000076293945,8.050000190734863,221400,8.050000190734863
2020-02-27,8.09000015258789,7.809999942779541,7.860000133514404,7.980000019073486,281600,7.980000019073486
2020-02-28,7.929999828338623,7.46999979019165,7.820000171661377,7.78000020980835,376700,7.78000020980835
2020-03-02,7.840000152587891,7.570000171661377,7.78000020980835,7.670000076293945,283500,7.670000076293945
2020-03-03,8.0,7.610000133514404,7.849999904632568,7.659999847412109,206900,7.659999847412109
2020-03-04,7.789999961853027,7.590000152587891,7.639999866485596,7.75,244600,7.75
2020-03-05,7.849999904632568,7.340000152587891,7.659999847412109,7.449999809265137,395800,7.449999809265137
2020-03-06,7.53000020980835,7.0,7.269999980926514,7.480000019073486,347900,7.480000019073486
2020-03-09,7.340000152587891,6.849999904632568,7.329999923706055,6.960000038146973,618900,6.960000038146973
2020-03-10,7.590000152587891,6.900000095367432,7.019999980926514,7.559999942779541,533800,7.559999942779541
2020-03-11,7.460000038146973,7.110000133514404,7.449999809265137,7.230000019073486,236200,7.230000019073486
2020-03-12,7.079999923706055,6.480000019073486,6.900000095367432,6.519999980926514,269100,6.519999980926514
2020-03-13,6.829999923706055,6.28000020980835,6.760000228881836,6.539999961853027,257100,6.539999961853027
2020-03-16,6.130000114440918,5.599999904632568,6.079999923706055,5.610000133514404,244300,5.610000133514404
2020-03-17,6.179999828338623,5.440000057220459,5.630000114440918,6.179999828338623,274200,6.179999828338623
2020-03-18,6.170000076293945,5.570000171661377,6.0,5.760000228881836,312600,5.760000228881836
2020-03-19,6.349999904632568,5.909999847412109,5.940000057220459,6.139999866485596,250900,6.139999866485596
2020-03-20,6.679999828338623,6.110000133514404,6.179999828338623,6.159999847412109,356500,6.159999847412109
2020-03-23,6.400000095367432,5.860000133514404,6.269999980926514,6.039999961853027,254600,6.039999961853027
2020-03-24,6.389999866485596,5.949999809265137,6.260000228881836,6.320000171661377,250800,6.320000171661377
2020-03-25,6.699999809265137,6.300000190734863,6.300000190734863,6.53000020980835,283300,6.53000020980835
2020-03-26,7.139999866485596,6.579999923706055,6.579999923706055,7.099999904632568,112600,7.099999904632568
2020-03-27,7.190000057220459,6.53000020980835,6.869999885559082,6.960000038146973,352600,6.960000038146973
2020-03-30,7.170000076293945,6.840000152587891,6.949999809265137,6.960000038146973,151100,6.960000038146973
2020-03-31,7.099999904632568,6.840000152587891,6.920000076293945,6.96999979019165,205800,6.96999979019165
2020-04-01,6.869999885559082,6.400000095367432,6.800000190734863,6.510000228881836,193700,6.510000228881836
2020-04-02,7.039999961853027,6.480000019073486,6.480000019073486,7.019999980926514,175400,7.019999980926514
2020-04-03,7.050000190734863,6.760000228881836,7.019999980926514,6.96999979019165,197800,6.96999979019165
2020-04-06,7.480000019073486,7.010000228881836,7.21999979019165,7.360000133514404,206900,7.360000133514404
2020-04-07,7.659999847412109,7.170000076293945,7.53000020980835,7.579999923706055,228400,7.579999923706055
2020-04-08,8.180000305175781,7.539999961853027,7.699999809265137,8.079999923706055,237500,8.079999923706055
2020-04-09,8.260000228881836,7.75,8.199999809265137,7.980000019073486,141800,7.980000019073486
2020-04-13,8.5,7.929999828338623,7.929999828338623,8.479999542236328,194300,8.479999542236328
2020-04-14,9.039999961853027,8.609999656677246,8.699999809265137,8.65999984741211,190800,8.65999984741211
2020-04-15,8.770000457763672,8.34000015258789,8.770000457763672,8.609999656677246,239300,8.609999656677246
2020-04-16,8.75,8.329999923706055,8.609999656677246,8.529999732971191,189500,8.529999732971191
2020-04-17,9.039999961853027,8.520000457763672,8.619999885559082,8.989999771118164,194900,8.989999771118164
2020-04-20,9.100000381469727,8.65999984741211,8.859999656677246,8.760000228881836,112200,8.760000228881836
2020-04-21,9.039999961853027,8.420000076293945,8.579999923706055,8.489999771118164,126400,8.489999771118164
2020-04-22,8.979999542236328,8.479999542236328,8.600000381469727,8.640000343322754,143300,8.640000343322754
2020-04-23,8.930000305175781,8.489999771118164,8.6899995803833,8.770000457763672,170600,8.770000457763672
2020-04-24,9.010000228881836,8.649999618530273,8.770000457763672,8.9399995803833,113700,8.9399995803833
2020-04-27,9.130000114440918,8.760000228881836,9.010000228881836,8.8100004196167,114900,8.8100004196167
2020-04-28,8.989999771118164,8.760000228881836,8.989999771118164,8.880000114440918,170500,8.880000114440918
2020-04-29,9.15999984741211,8.680000305175781,9.15999984741211,8.829999923706055,316500,8.829999923706055
2020-04-30,8.199999809265137,7.53000020980835,7.53000020980835,7.800000190734863,384400,7.800000190734863
2020-05-01,7.659999847412109,7.5,7.579999923706055,7.630000114440918,266000,7.630000114440918
2020-05-04,7.880000114440918,7.5,7.559999942779541,7.880000114440918,150600,7.880000114440918
2020-05-05,8.130000114440918,7.75,7.940000057220459,7.78000020980835,133300,7.78000020980835
2020-05-06,7.900000095367432,7.699999809265137,7.829999923706055,7.739999771118164,95000,7.739999771118164
2020-05-07,7.869999885559082,7.630000114440918,7.829999923706055,7.690000057220459,165300,7.690000057220459
2020-05-08,8.170000076293945,7.789999961853027,7.800000190734863,8.100000381469727,144200,8.100000381469727
2020-05-11,8.6899995803833,7.940000057220459,8.09000015258789,8.619999885559082,304300,8.619999885559082
2020-05-12,8.630000114440918,8.149999618530273,8.630000114440918,8.170000076293945,152700,8.170000076293945
2020-05-13,8.119999885559082,7.869999885559082,8.119999885559082,8.039999961853027,210400,8.039999961853027
2020-05-14,8.010000228881836,7.699999809265137,7.940000057220459,7.889999866485596,275200,7.889999866485596
2020-05-15,8.050000190734863,7.840000152587891,7.889999866485596,7.980000019073486,118200,7.980000019073486
2020-05-18,8.470000267028809,8.050000190734863,8.210000038146973,8.329999923706055,124000,8.329999923706055
2020-05-19,8.260000228881836,7.920000076293945,8.260000228881836,7.949999809265137,137400,7.949999809265137
2020-05-20,8.270000457763672,7.949999809265137,8.119999885559082,8.180000305175781,127200,8.180000305175781
2020-05-21,8.180000305175781,7.949999809265137,8.180000305175781,8.039999961853027,104200,8.039999961853027
